Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
seneManyTv,,,2018-11-06 14:01:06,2018-11-06 14:01:28,22.905s,PASSED
,,,,,,
Test Cases/sendTvdiscoveryMany,,,2018-11-06 14:01:06,2018-11-06 14:01:28,22.285s,PASSED
"Statement - endpoint = ""http://"" + cmndIpAddress + "":8080/SmartInstall/webservices.jsp""",,,2018-11-06 14:01:09,2018-11-06 14:01:09,0.014s,PASSED
"Statement - requestMethod = ""POST""",,,2018-11-06 14:01:09,2018-11-06 14:01:09,0.001s,PASSED
"Statement - authHeader = ""whateverYouNeedForAuthentication""",,,2018-11-06 14:01:09,2018-11-06 14:01:09,0.002s,PASSED
"Statement - header1 = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, authHeader)",,,2018-11-06 14:01:09,2018-11-06 14:01:09,0.059s,PASSED
"Statement - header2 = new com.kms.katalon.core.testobject.TestObjectProperty(Content-Type, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json)",,,2018-11-06 14:01:09,2018-11-06 14:01:09,0.007s,PASSED
"Statement - header3 = new com.kms.katalon.core.testobject.TestObjectProperty(Accept, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json)",,,2018-11-06 14:01:09,2018-11-06 14:01:09,0.002s,PASSED
"Statement - defaultHeaders = java.util.Arrays.asList(header1, header2, header3)",,,2018-11-06 14:01:09,2018-11-06 14:01:09,0.015s,PASSED
"Statement - tvResponse1 = ""{""CommandDetails"":{""TVDiscoveryParameters"":{""PowerStatus"":""On"",""TVIPAddress"":""",,,2018-11-06 14:01:09,2018-11-06 14:01:09,0.003s,PASSED
"Statement - tvResponse2 = "",""TVModelNumber"":""32HFL5011T/12"",""TVRoomID"":""",,,2018-11-06 14:01:09,2018-11-06 14:01:09,0.001s,PASSED
"Statement - tvResponse3 = "",""VSecureTVID"":""80F4F91""},""WebServiceParameters"":{""PollingFrequency"":10,""TVUniqueID"":""",,,2018-11-06 14:01:09,2018-11-06 14:01:09,0.001s,PASSED
"Statement - tvResponse4 = ""}},""CmdType"":""Response"",""Cookie"":293,""Fun"":""TVDiscoveryService"",""Svc"":""WebServices"",""SvcVer"":""3.0""}""",,,2018-11-06 14:01:09,2018-11-06 14:01:09,0.001s,PASSED
