Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
seneManyTv,,,2018-11-06 14:20:21,2018-11-06 14:20:42,20.842s,PASSED
,,,,,,
Test Cases/sendTvdiscoveryMany,,,2018-11-06 14:20:22,2018-11-06 14:20:42,20.213s,PASSED
"Statement - endpoint = ""http://"" + cmndIpAddress + "":8080/SmartInstall/webservices.jsp""",,,2018-11-06 14:20:22,2018-11-06 14:20:22,0.026s,PASSED
"Statement - requestMethod = ""POST""",,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.007s,PASSED
"Statement - authHeader = ""whateverYouNeedForAuthentication""",,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.001s,PASSED
"Statement - header1 = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, authHeader)",,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.023s,PASSED
"Statement - header2 = new com.kms.katalon.core.testobject.TestObjectProperty(Content-Type, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json)",,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.001s,PASSED
"Statement - header3 = new com.kms.katalon.core.testobject.TestObjectProperty(Accept, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json)",,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.001s,PASSED
"Statement - defaultHeaders = java.util.Arrays.asList(header1, header2, header3)",,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.010s,PASSED
"Statement - tvResponse1 = ""{""CommandDetails"":{""TVDiscoveryParameters"":{""PowerStatus"":""On"",""TVIPAddress"":""",,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.004s,PASSED
"Statement - tvResponse2 = "",""TVModelNumber"":""32HFL5011T/12"",""TVRoomID"":""",,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.002s,PASSED
"Statement - tvResponse3 = "",""VSecureTVID"":""80F4F91""},""WebServiceParameters"":{""PollingFrequency"":10,""TVUniqueID"":""",,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.002s,PASSED
"Statement - tvResponse4 = ""}},""CmdType"":""Response"",""Cookie"":293,""Fun"":""TVDiscoveryService"",""Svc"":""WebServices"",""SvcVer"":""3.0""}""",,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.005s,PASSED
Statement - ro = new com.kms.katalon.core.testobject.RestRequestObjectBuilder().withRestUrl(endpoint).withHttpHeaders(defaultHeaders).withRestRequestMethod(requestMethod).build(),,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.008s,PASSED
Statement - For (def index : (1..internal.GlobalVariable.tvDiscoveryCount)),,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.053s,PASSED
"Statement - tvRoomId = """"00000""""",,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.002s,PASSED
Statement - If (index > 0 && index < 10),,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.009s,PASSED
Statement - return tvRoomId,,,2018-11-06 14:20:23,2018-11-06 14:20:23,0.003s,PASSED
